S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres  ,Laps,Total Time,Pitstops,Best Lap Number,Best LapTime,Best Lap Kph,Status
58,1,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,LMGTE Am,M,11,01:01:00,1,10,04:00.0,204.4,Running 
59,1,16,Proton Competition,R. HARDWICK / Z. ROBICHON / J. HEYLEN,Porsche 911 RSR - 19,LMGTE Am,M,11,01:01:00,1,10,03:58.7,205.5,Running 
60,1,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,HYPERCAR,M,11,01:01:30,1,9,03:30.4,233.1,Running 
61,1,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,LMP2,G,11,01:03:42,0,9,03:49.2,214,Running 
62,1,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,HYPERCAR ,M,1,00:06:04,1,,,,Running 
63,2,2,Cadillac Racing,E. BAMBER / A. LYNN / R. WESTBROOK,Cadillac V-Series.R,HYPERCAR,M,26,02:01:05,1,10,03:30.2,233.4,Running 
64,2,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,HYPERCAR,M,26,02:01:10,1,9,03:30.1,233.5,Running 
65,2,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,HYPERCAR,M,26,02:01:13,1,12,03:29.9,233.7,Running 
66,2,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,HYPERCAR,M,26,02:01:26,2,10,03:29.7,234,Running 
67,2,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,HYPERCAR,M,26,02:01:32,3,10,03:29.5,234.2,Running 
68,2,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,HYPERCAR,M,26,02:01:33,2,9,03:30.0,233.6,Running 
69,2,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,HYPERCAR,M,26,02:01:35,2,12,03:30.0,233.6,Running 
70,2,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,HYPERCAR,M,26,02:01:35,2,19,03:29.8,233.8,Running 
71,2,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,HYPERCAR,M,26,02:01:36,2,12,03:29.1,234.6,Running 
72,2,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,HYPERCAR,M,26,02:01:55,2,10,03:29.7,234,Running 
73,2,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,HYPERCAR,M,26,02:02:02,2,10,03:30.1,233.5,Running 
74,2,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,HYPERCAR,M,26,02:02:40,2,11,03:30.6,233,Running 
75,2,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,HYPERCAR,M,26,02:04:32,3,12,03:32.9,230.4,Running 
76,2,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,HYPERCAR,M,26,02:05:15,3,12,03:28.3,235.5,Running 
77,2,41,Team WRT,R. ANDRADE / L. DELÉTRAZ / R. KUBICA,Oreca 07 - Gibson,LMP2,G,26,02:05:35,2,11,03:36.4,226.7,Running 
78,2,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,LMP2,G,26,02:05:44,3,10,03:37.4,225.6,Running 
79,2,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,LMP2,G,26,02:05:45,2,11,03:37.3,225.7,Running 
80,2,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,LMP2,G,25,02:01:02,2,10,03:37.7,225.3,Running 
81,2,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,LMP2,G,25,02:01:14,2,11,03:37.7,225.3,Running 
82,2,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,LMP2,G,25,02:01:15,3,11,03:39.0,223.9,Running 
83,2,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,LMP2,G,25,02:01:18,3,13,03:38.7,224.3,Running 
84,2,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,LMP2,G,25,02:01:19,2,11,03:37.1,225.9,Running 
85,2,35,Alpine Elf Team,A. NEGRÃO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,LMP2,G,25,02:01:24,2,10,03:38.1,225,Running 
86,2,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,LMP2,G,25,02:01:25,2,11,03:37.8,225.2,Running 
87,2,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,LMP2,G,25,02:01:31,2,10,03:38.1,225,Running 
88,2,47,COOL Racing,DE GÉRUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,LMP2,G,25,02:01:34,2,10,03:37.3,225.7,Running 
89,2,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,LMP2,G,25,02:01:34,3,13,03:39.4,223.6,Running 
90,2,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,LMP2,G,25,02:01:34,3,10,03:37.8,225.2,Running 
91,2,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,LMP2,G,25,02:01:36,3,13,03:38.4,224.6,Running 
92,2,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,LMP2,G,25,02:02:32,3,11,03:39.0,224,Running 
